,date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune
2000-01-30,2000-01-30,3.6324990267573435e+22,1.7761792009535363e+20,3453835100788845.5,5.0449940974446984e+16,2844417429983403.0,1.3133271280726518e+18,1.2201268335114264e+17,3535681426429360.0,1877201697757316.8
2000-01-31,2000-01-31,3.6314968121500976e+22,1.7532342491643963e+20,3534555086865349.0,5.0017938466773704e+16,2829082472106227.0,1.3052320712735775e+18,1.215685668605291e+17,3534940846330974.0,1877394773495103.2
2000-02-01,2000-02-01,3.6304662520968623e+22,1.7417273333236983e+20,3623872256797120.0,4.959382004296267e+16,2813878529460890.5,1.2972377429568883e+18,1.211268079526437e+17,3534296230402118.0,1877622999740218.2
2000-02-02,2000-02-02,3.629409074912472e+22,1.740539596648701e+20,3722740619166345.0,4.917741413919484e+16,2798805460060050.5,1.2893443734548905e+18,1.2068752264631141e+17,3533747707445842.5,1877886345546554.8
2000-02-03,2000-02-03,3.6283268495459633e+22,1.748418083247354e+20,3832237836036333.0,4.87685517530478e+16,2783863113439421.0,1.2815521520605391e+18,1.2025082448651915e+17,3533295381014242.5,1878184767979013.0
2000-02-04,2000-02-04,3.6272209594368284e+22,1.76409113961688e+20,3953577794981949.5,4.836706626837371e+16,2769051319598829.0,1.273861226839282e+18,1.1981682446086666e+17,3532939327295268.0,1878518211405164.0
2000-02-05,2000-02-05,3.62609256436906e+22,1.7863660190593047e+20,4088122699166328.5,4.797279321796215e+16,2754369873409572.5,1.2662717037013435e+18,1.1938563088408614e+17,3532679592485799.5,1878886606642741.8
2000-02-06,2000-02-06,3.6249425549169785e+22,1.8142142491911025e+20,4237393730858485.5,4.758557005638417e+16,2739818514515617.0,1.25878364439888e+18,1.1895734922613266e+17,3532516189899121.5,1879289870078039.0
2000-02-07,2000-02-07,3.623771505835309e+22,1.8468389688851114e+20,4403078958228079.5,4.720523600531678e+16,2725396904125478.0,1.2513970634382838e+18,1.1853208187553782e+17,3532449097178317.0,1879727902899868.0
2000-02-08,2000-02-08,3.6225796345681364e+22,1.8837045429443995e+20,4587036677680817.0,4.6831632013571656e+16,2711104600646430.5,1.244111924121335e+18,1.1810992784284341e+17,3532478253997172.5,1880200590585159.0
