time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-05T07:45:39.470Z,-22.5384,169.3376,10,5.1,mb,,92,2.678,1.46,us,us1000i2kq,2018-12-05T08:02:11.040Z,"185km SE of Tadine, New Caledonia",earthquake,9.2,1.9,0.093,38,reviewed,us,us
2018-12-05T07:24:25.460Z,-21.9886,169.502,10,4.8,mb,,109,2.838,0.38,us,us1000i2ky,2018-12-05T08:27:20.040Z,"174km ESE of Tadine, New Caledonia",earthquake,13.1,1.9,0.09,40,reviewed,us,us
2018-12-05T06:51:45.070Z,-21.8229,169.2406,10,4.9,mb,,95,2.608,0.85,us,us1000i2k5,2018-12-05T07:20:27.040Z,"143km ESE of Tadine, New Caledonia",earthquake,10.5,1.9,0.069,67,reviewed,us,us
2018-12-05T06:43:04.120Z,-22.0502,169.6677,10,6.6,mww,,31,2.989,1.09,us,us1000i2k0,2018-12-05T08:48:39.870Z,"192km ESE of Tadine, New Caledonia",earthquake,7.6,1.8,0.044,50,reviewed,us,us
2018-12-05T06:36:56.950Z,-22.2984,168.7351,10,4.9,mb,,79,2.112,1.03,us,us1000i2jy,2018-12-05T07:01:43.040Z,"120km SE of Tadine, New Caledonia",earthquake,5.2,1.9,0.092,37,reviewed,us,us
2018-12-05T06:16:56.570Z,-20.4274,-178.0095,538.31,4.7,mb,,89,4.58,0.88,us,us1000i2jp,2018-12-05T06:50:14.040Z,"76km ENE of Ndoi Island, Fiji",earthquake,12.2,6.3,0.034,259,reviewed,us,us
2018-12-05T05:53:07.020Z,-22.3831,169.5764,10,5.2,mb,,48,2.891,1.57,us,us1000i2je,2018-12-05T06:14:17.040Z,"197km ESE of Tadine, New Caledonia",earthquake,7.3,1.6,0.053,117,reviewed,us,us
2018-12-05T05:52:38.310Z,40.3011,77.6325,10,4.6,mb,,69,1.501,0.58,us,us1000i2jc,2018-12-05T09:12:22.040Z,"146km ENE of Arzak, China",earthquake,6.5,1.9,0.082,45,reviewed,us,us
2018-12-05T04:54:25.020Z,-22.2063,169.6707,10,5.2,mb,,104,2.981,1.15,us,us1000i2il,2018-12-05T05:22:17.040Z,"198km ESE of Tadine, New Caledonia",earthquake,11,1.8,0.068,71,reviewed,us,us
2018-12-05T04:50:21.660Z,-21.8895,169.2489,10,5.3,mb,,107,17.938,0.64,us,us1000i2if,2018-12-05T05:34:19.040Z,"146km ESE of Tadine, New Caledonia",earthquake,13.5,1.9,0.073,63,reviewed,us,us
2018-12-05T04:41:56.180Z,-21.6985,169.2423,10,5.7,mb,,95,2.625,0.75,us,us1000i2hk,2018-12-05T06:44:28.262Z,"141km E of Tadine, New Caledonia",earthquake,10.5,1.8,0.064,89,reviewed,us,us
2018-12-05T04:41:29.510Z,-22.0756,169.5381,10,4.9,mb,,134,2.867,0.78,us,us1000i2hr,2018-12-05T05:04:08.040Z,"180km ESE of Tadine, New Caledonia",earthquake,13.4,1.9,0.14,16,reviewed,us,us
2018-12-05T04:31:23.340Z,-21.8798,169.5407,10,5.6,mb,,78,17.197,0.47,us,us1000i2i1,2018-12-05T06:33:40.742Z,"175km ESE of Tadine, New Caledonia",earthquake,6.9,1.8,0.098,37,reviewed,us,us
2018-12-05T04:30:24.680Z,-21.8346,169.1073,10,5.9,mb,,58,2.483,0.66,us,us1000i2h5,2018-12-05T06:32:34.042Z,"130km ESE of Tadine, New Caledonia",earthquake,6.8,1.4,0.051,141,reviewed,us,us
2018-12-05T04:28:44.070Z,-21.5131,169.3675,10,5.9,mb,,188,2.773,0.77,us,us1000i2hh,2018-12-05T06:31:11.325Z,"153km E of Tadine, New Caledonia",earthquake,8.8,2,0.081,56,reviewed,us,us
2018-12-05T04:18:08.400Z,-21.9685,169.4464,10,7.5,mww,,20,2.788,0.98,us,us1000i2gt,2018-12-05T21:22:18.579Z,"168km ESE of Tadine, New Caledonia",earthquake,8,1.8,0.058,29,reviewed,us,us
2018-12-05T04:14:36.470Z,-21.9814,169.3156,10,6,mb,,28,2.666,0.97,us,us1000i2gr,2018-12-05T07:28:09.463Z,"155km ESE of Tadine, New Caledonia",earthquake,8.2,1.8,0.048,164,reviewed,us,us
2018-12-05T04:07:15.290Z,-5.1454,149.7019,375.27,4.6,mb,,88,2.63,0.72,us,us1000i2gd,2018-12-05T04:18:07.040Z,"66km NW of Kimbe, Papua New Guinea",earthquake,9.5,7.9,0.111,24,reviewed,us,us
2018-12-04T23:44:09.560Z,-18.2176,-178.1391,566.29,4.8,mb,,41,3.654,1.12,us,us1000i2de,2018-12-05T00:06:27.040Z,"275km NNE of Ndoi Island, Fiji",earthquake,10.6,7.2,0.035,257,reviewed,us,us
2018-12-04T22:37:46.610Z,0.2486,97.0411,10,4.8,mb,,162,1.176,0.77,us,us1000i2an,2018-12-04T22:53:53.040Z,"254km SW of Sibolga, Indonesia",earthquake,8.6,1.9,0.099,31,reviewed,us,us
2018-12-04T22:29:59.760Z,0.3173,97.1684,10,5.1,mb,,86,1.061,0.62,us,us1000i2ac,2018-12-04T22:47:44.040Z,"238km SW of Sibolga, Indonesia",earthquake,7.6,1.9,0.07,66,reviewed,us,us
2018-12-04T20:49:06.240Z,-7.4683,120.0245,421.35,4.8,mb,,37,2.453,0.79,us,us1000i26p,2018-12-04T21:16:28.040Z,"96km NNW of Nggilat, Indonesia",earthquake,9.7,6.5,0.06,84,reviewed,us,us
2018-12-04T19:14:39.430Z,85.409,89.3079,10,4.8,mb,,42,11.092,0.92,us,us1000i247,2018-12-04T19:37:18.040Z,"North of Severnaya Zemlya",earthquake,5.6,1.9,0.056,99,reviewed,us,us
2018-12-04T16:02:29.778Z,61.3903,-150.0769,36,4.6,ml,,,,0.86,ak,ak20442375,2018-12-06T07:57:29.897Z,"17km SSW of Big Lake, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-12-04T14:22:54.800Z,19.5406,144.5315,11.63,5.1,mb,,54,7.823,0.68,us,us1000i1xf,2018-12-04T15:48:16.040Z,"116km SSW of Farallon de Pajaros, Northern Mariana Islands",earthquake,10.4,4.2,0.038,220,reviewed,us,us
