date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune
2017-09-22,1.0038176257495104,0.0026353795737967824,1.1889926567376936,1.453771606901396,2.5843770701988036,6.320942972724532,10.14247320706963,19.02239254464903,28.984992339829223
2017-09-23,1.0035357680381012,0.002663191444395156,1.2108064052700145,1.458539658151748,2.581201998273517,6.327648650779377,10.158926599611338,19.01460474301645,28.990309512444416
2017-09-24,1.0032517138202721,0.002687293463947343,1.2314507946923774,1.463261835425915,2.5779590929371663,6.334160393877646,10.175339848699728,19.007085705132283,28.995913001196243
2017-09-25,1.0029657297814598,0.0027057751732512993,1.2509049539540718,1.4679382858439884,2.574648648849298,6.3404770866042295,10.191708430294828,18.999838004284264,29.00180095908358
2017-09-26,1.0026781031658714,0.0027169965089794234,1.269163037170498,1.472569159461758,2.571270973181138,6.346597694199319,10.208027905983503,18.99286407646977,29.007971434745347
2017-09-27,1.0023891341577926,0.0027197393758677585,1.2862317693112064,1.4771546044682358,2.567826377897241,6.35252125235953,10.224293921026524,18.986166229961803,29.014422383908343
2017-09-28,1.002099131307387,0.0027133330338557577,1.3021280399647812,1.481694765084054,2.564315175133068,6.358246859629205,10.240502201996012,18.979746652438045,29.02115167746339
2017-09-29,1.0018084091831938,0.0026977483674727387,1.3168766540594463,1.486189780883284,2.5607376743889954,6.36377367227662,10.25664855548774,18.97360741572047,29.0281571075375
2017-09-30,1.0015172870574727,0.002673651011367704,1.3305083085326468,1.4906397861715281,2.557094180054445,6.369100900825644,10.272728868628656,18.967750478956624,29.0354363932009
2017-10-01,1.0012260872494994,0.0026424037488560256,1.3430578298738192,1.49504490811925,2.553384987788005,6.3742278069190235,10.288739111344599,18.96217769161074,29.04298718742386
2017-10-02,1.0009351316766806,0.0026060119102862458,1.3545626809862634,1.4994052624926553,2.5496103784242603,6.379153698852247,10.304675339613503,18.956890797991264,29.05080708667289
2017-10-03,1.0006447351857366,0.0025670051732651017,1.3650617270804728,1.503720946082042,2.5457706083875418,6.383877923904855,10.32053369812913,18.951891445244573,29.058893644073244
2017-10-04,1.0003551945435094,0.002528245774603212,1.374594238628585,1.5079920254968935,2.5418658962688885,6.3883998556873,10.336310419959249,18.94718119660634,29.06724438616371
